release,year,md_over_mu,md_over_mu_sigma,ms_over_md,ms_over_md_sigma,md_over_mu_pred
FLAG2019,2019,2.16,0.08,20.0,0.5,2.154
FLAG2024,2024,2.162,0.050,20.0,0.5,2.154
